Species,"MAT, ° C",AL,"N, mg/g","P, mg/g",N/P,References
Lathyrus venosus,4.5,46.12,22.2,1.9,12.6,"5, 6"
Laurus nobilis,16.2,41.40,27.6,,,54
Lavandula dentata,17.0,39.54,24.6,,,53
Lavandula latifolia,13.0,43.69,14.5,0.7,14.3,"13, 79"
Lavandula stoechas,14.8,42.95,12.7,0.9,14.6,"59, 79"
Lavatera cretica,17.0,39.54,50.4,,,53
Lectuca biennis,7.7,43.52,13.4,2.9,4.6,5
Ledum decumbens,–4.7,59.00,14.4,0.6,24.4,117
Ledum groenlandicum,5.0,45.69,9.7,0.9,10.3,5
Ledum palustre,–3.8,63.91,12.9,1.6,7.9,"19, 61, 65"
Leontodon hispidus,9.3,53.40,24.5,2.1,11.7,36
Leptospermum polygalifolium,17.5,33.58,13.9,0.6,25.3,46
Lespedeza capitata,7.6,43.22,11.8,1.4,8.4,5
Leucaena leucocephala,15.1,18.75,37.1,1.4,26.6,"10, 82"
Liatris aspera,5.7,45.01,11.7,1.4,8.1,"5, 6"
Liatris cylindracea,7.7,43.13,12.8,1.1,11.6,5
Licania heteromorpha,26.0,1.93,13.0,,,8
Ligusticum huteri,17.0,39.54,41.5,,,53
Limonium migjornense,17.0,39.54,24.7,,,53
Linnea borealis,3.9,46.70,12.5,1.9,6.3,6
Liparis spectabilis,26.8,10.00,7.9,0.8,9.8,44
Liquidambar styraciflua,16.0,34.32,16.4,2.5,5.5,"21, 22"
Liriodendron tulipifera,12.8,35.14,23.3,1.9,12.6,"8, 17, 23, 24, 50, †"
Liriope muscali,14.0,40.40,26.1,6.0,4.3,40
Lithospermum canescens,3.9,46.70,22.7,1.6,15.7,6
Lithospermum caroliniense,7.5,43.31,17.7,1.1,16.1,5
Litsea exsudens,26.8,10.00,13.7,0.8,16.2,44
Lolium perenne,9.3,53.40,32.7,4.4,7.4,36
Lonicera xbella,8.0,43.15,19.0,,,56
Lonicera canadensis,3.9,46.70,15.2,2.1,7.4,6
Lonicera dioca,3.9,46.70,,2.9,,6
Lonicera etrusca,12.8,43.77,20.1,,,13
Lonicera hirsuta,3.9,46.70,17.8,2.6,6.9,6
Lonicera xylosteum,5.4,58.60,21.1,1.4,15.4,19
Loreya mespiloides,25.0,4.00,23.5,,,1
Lotus corniculatus,11.6,46.98,29.4,1.3,20.8,"13, 36"
Ludwigia sp.,23.2,25.85,9.1,0.8,11.0,§
Luzula luzuloides,7.1,50.92,19.2,2.1,9.1,"41, 42"
Luzula pilosa,4.6,54.95,20.2,3.9,5.2,"35, 41"
Luzula sylvatica,9.3,53.40,19.5,2.0,9.8,36
Lycopodium lucidulum,7.4,43.93,20.3,0.9,21.4,28
Lyonia cf. octandra,27.0,18.00,9.2,0.5,18.4,45
Lyonia lucida,18.3,33.33,9.2,,,8
Lysimachia ciliata,7.2,42.96,12.5,2.1,6.0,5
Lysimachia nummularia,9.7,48.00,17.1,2.6,6.7,43
Machaerina mariscoides,17.0,19.50,6.9,0.2,34.5,10
Magnolia fraseri,13.0,35.05,23.0,,,17
Magnolia splendens,24.1,18.40,13.3,0.7,18.0,33
Majanthemum bifolium,6.2,52.57,34.5,3.1,11.0,"35, 41"
Majanthemum canadense,4.8,46.01,19.4,2.4,7.7,"6, 28"
Malus sp.,6.5,44.57,21.2,2.0,10.5,15
Manilkara bidentata,24.1,18.40,12.3,0.5,22.4,33
Maytenus acuminata,13.5,33.83,16.0,,,9
Maytenus oleodes,13.5,33.83,13.0,,,9
Mecranium purpurescens,27.0,18.00,16.3,0.7,23.3,45
Medeola virginiana,7.4,43.93,23.0,1.3,17.7,28
Medicago minima,13.0,43.74,38.8,,,13
Mediocalcar sp.,26.8,10.00,6.3,0.8,7.7,44
Melaleuca huegelii,18.3,31.95,14.1,1.4,10.1,11
Melaleuca uncinata,18.2,32.98,16.4,1.1,15.3,46
Melampyrum pratense,7.0,51.02,26.0,2.8,9.2,"41, 42"
Melastoma candidum,12.0,19.50,18.3,1.2,15.2,10
Melastoma malabarthricum,26.5,3.10,9.5,0.3,27.1,109
Melica nutans,7.3,50.98,28.4,1.7,16.7,41
Melica uniflora,7.6,50.93,28.6,2.0,14.3,"41, 42, 80"
Melinis minutiflora,12.0,19.50,24.6,3.2,7.7,10
Melodinus novoguineense,26.8,10.00,13.4,0.8,16.5,44
Mercurialis perennis,6.1,53.66,32.8,3.0,10.9,"35, 36, 41, 42"
Meriania purpurea,27.0,18.00,19.0,1.1,17.3,45
Metrosideros polymorpha,22.1,20.98,9.9,0.7,13.5,"10, 90"
Miconia calvescens,12.0,19.50,19.0,1.7,11.2,10
Miconia dispar,26.0,1.93,15.9,,,8
Miconia fragilis,25.0,4.00,22.1,,,1
Miconia prasina,24.1,18.40,20.3,1.1,19.2,33
Miconia tetrandra,24.1,18.40,14.6,0.6,25.2,33
Miconia tschudyoides,25.0,4.00,15.0,,,1
Micrandra sprucei,26.0,1.93,10.8,,,56
Microlepia cf. pseudohirta,26.8,10.00,22.0,1.9,11.6,44
Micropholis chrysophylloides,24.1,18.40,10.1,0.4,25.9,33
Micropholis maguirei,26.0,1.93,8.0,,,56
Microsorum cornwellii,26.8,10.00,6.8,1.6,4.2,44
Mikania scandens,23.2,25.85,12.7,1.0,12.3,§
Milium effusum,6.5,52.17,32.5,1.5,21.4,"35, 41, 80"
Mimusops obovata,17.4,32.33,25.0,,,9
Minuartia verna,9.3,53.40,18.1,2.2,8.2,36
Mitchella repens,7.4,43.93,.,1.1,,28
Mitreola sessilifolia,23.2,25.85,12.3,0.5,23.2,§
Molinia coerulea,6.9,51.00,21.1,1.0,20.2,"41, 42, 80"
Monanthotaxis caffra,17.4,32.33,37.8,,,9
Monarda fistuloza,7.7,43.13,8.0,1.5,5.3,5
Monarda punctata,7.5,43.31,13.2,2.4,5.5,5
Monotropa uniflora,3.9,46.70,19.7,3.0,6.6,6
Musa ornata,14.0,40.40,29.2,1.9,15.4,40
Myrcia deflexa,24.1,18.40,13.1,0.5,27.1,"33, 55"
Myrcia splendens,24.1,18.40,10.9,0.6,18.8,33
Myrianthus libericus,28.0,7.55,17.6,,,38
Myrica asplenifolia,4.3,45.88,21.5,1.3,16.5,5
Myrica faya,17.0,19.50,17.5,0.4,43.8,10
Myrrhis odorata,9.3,53.40,51.5,4.3,12.0,36
Myrsine lassertiana,24.2,21.35,9.5,0.8,12.4,90
Narcissus pseudonarcissus,9.4,50.17,43.0,3.0,14.3,‡
Nardus stricta,6.7,49.87,14.8,1.6,8.2,"31, 36, 41, 80"
Nastus productus,26.8,10.00,8.0,0.6,13.5,44
Neea obovata,26.0,1.93,18.4,,,56
Nemopanthus mucronatus,4.3,45.88,14.6,1.8,8.1,5
Neolaugeria resinosa,24.1,18.40,11.0,0.4,27.5,33
Nothofagus obliqua,9.6,51.25,26.0,1.5,17.3,49
Nuytsia floribunda,18.3,31.95,7.4,0.2,34.6,34
Nyssa aquatica,18.0,32.67,15.1,1.7,8.9,21
Nyssa sylvatica,13.8,34.67,19.1,1.5,13.2,"17, 21, 23"
Ocotea costulata,26.0,1.93,15.0,,,8
Ocotea leucoxylon,24.1,18.40,22.1,1.0,23.0,"33, 55"
Ocotea spathulata,24.1,18.40,,1.6,,33
Olea capensis ssp. macrocarpa,13.1,32.50,11.4,,,9
Olea europaea,17.0,39.54,19.0,,,53
Olea europaea ssp. africana,13.5,33.83,18.9,,,9
Olearia decurrens,18.2,32.98,19.8,1.1,18.9,46
Olearia pimelioides,18.2,32.98,24.0,1.2,19.3,46
Olinia ventosa,13.5,33.83,29.2,,,9
Ophiopodon japonicum,14.0,40.40,25.4,2.2,11.5,40
Origanum vulgare,9.3,53.40,22.4,1.7,13.2,36
Ormosia krugii,24.1,18.40,21.3,0.8,28.0,55
Ormosia melanocarpa,25.0,4.00,19.0,,,1
Ormosia sp.,25.0,4.00,21.0,,,1
Ornithogalum pyrenaicum,9.4,50.17,53.0,4.9,10.8,‡
Orobus vernus,4.1,55.75,32.3,4.2,7.6,35
Oryzospis asperifolia,3.9,46.70,17.3,2.1,8.3,6
Oryzospis pungens,3.9,46.70,14.1,1.7,7.4,6
Osmorhiza claytoni,5.5,45.27,16.1,3.0,4.7,"5, 6"
Osmorhiza longistylis,7.7,43.52,16.1,4.3,3.7,5
Osmunda cinnamomea,4.3,45.88,15.6,1.8,8.7,5
Osmunda claytoniana,7.4,43.93,24.1,1.8,13.4,28
Ostrya carpinifolia,9.3,45.67,23.1,1.1,20.7,85
Ostrya virginiana,5.6,45.33,19.5,1.8,10.1,"5, 6, 15"
Ouratea littoralis,24.1,18.40,10.6,0.5,19.6,33
Oxalis acetosella,7.0,52.77,29.5,3.3,9.0,"35, 36, 41"
Oxalis montana,7.4,43.93,,2.5,,28
Oxydendrum arboreum,12.8,35.04,18.7,,,"17, 24"
Oxypolis rigidor,7.8,43.18,11.6,1.1,10.5,5
Padus avium,5.4,58.60,19.9,1.5,13.5,19
Paeonia cambessedesii,17.0,39.54,17.4,,,53
Palicourea crosea,24.1,18.40,26.8,0.8,31.5,33
Palicourea riparia,24.1,18.40,26.8,0.8,33.9,55
Pancovia golungensis,17.4,32.33,20.5,,,9
Pandanus cf. jiulanetti,26.8,10.00,14.0,0.8,17.1,44
Panicum hemitomon,23.2,25.85,9.5,0.9,10.9,§
Paramachaerium ormosioides,25.0,4.00,27.4,,,1
Parinari excelsa,28.0,7.55,24.5,,,38
Paris quadrifolia,4.1,55.75,29.6,3.9,7.6,35
Parkia sp.,25.0,4.00,25.5,,,1
Parthenocissus quinquefolia,3.9,46.70,,1.5,,6
Parthenocissus vitacea,7.5,43.24,20.7,3.5,5.8,5
Pastinaca lucida,17.0,39.54,26.5,,,53
Pedicularis canadensis,3.9,46.70,32.6,2.7,12.1,6
Peltandra virginica,23.2,25.85,23.0,1.4,16.4,§
Pennisetum setaceum,12.0,19.50,12.1,0.6,20.2,10
Pentaclethera macrophylla,28.0,7.55,24.3,,,38
Persea borbonia,18.3,33.33,16.4,,,8
Phalaris arundinacea,7.3,50.98,31.8,2.3,13.8,41
Phillyrea angustifolia,15.1,42.83,10.9,0.8,14.3,"59, 79"
Phillyrea latifolia,15.1,42.38,12.2,0.7,12.2,"13, 53, 59, 79"
Phleum alpinum,1.8,,19.2,3.4,5.6,12
Phleum pratense,12.8,43.77,28.5,,,13
Phlomis italica,17.0,39.54,20.9,,,53
Phragmites communis,7.4,48.29,26.8,1.8,14.5,"5, 41"
Phryma leptostachya,7.7,43.52,19.3,3.7,5.2,5
Phyllota phylicoides,17.5,33.58,13.8,0.3,53.1,46
Picea abies,6.2,54.12,12.1,1.4,9.0,"73, 77, 99, 103, 113–115, 117–160"
Picea chihuahuana,15.0,23.65,13.3,2.1,6.4,161
Picea engelmanii,–1.2,40.03,10.5,2.0,5.3,"8, 162"
Picea glauca,–0.5,59.14,9.8,1.5,6.6,"5, 6, 8, 52, 69"
Picea mariana,–0.5,57.96,7.3,0.7,9.5,"5, 56, 69, 114, 163–165"
Picea obovata,–8.4,69.44,15.3,,,114
Picea omorica,8.6,52.78,10.8,0.7,14.5,166
Picea rubens,7.4,43.93,12.6,1.0,12.6,28
Picea sitchensis,8.2,53.22,6.8,1.2,5.1,"114, 167"
Picea sp.,–1.1,30.67,12.6,,,114
Pictetia aculenta,24.1,18.40,.,0.8,,33
Pilea cyneata,26.8,10.00,12.4,0.8,15.5,44
Pilosella officinarum,9.3,53.40,16.6,1.5,11.1,36
Pimenta racemosa,24.1,18.40,8.6,0.4,21.5,33
Pinus albicaulis,0.6,46.70,8.0,,,114
Pinus banksiana,4.9,45.78,12.3,1.3,9.5,"5, 6, 8"
Pinus brutia,15.8,36.90,9.1,1.5,6.1,168
Pinus caribaea,24.1,18.40,8.8,0.8,11.3,33
Pinus cembra,2.6,46.40,17.5,2.2,7.5,"114, 128"
Pinus contorta,7.4,48.42,12.6,,,114
Pinus edulis,13.0,34.62,10.6,,,56
Pinus flexilis,–3.7,40.10,11.2,,,8
Pinus halepensis,13.9,42.27,11.4,1.0,11.8,"14, 53, 79"
Pinus heldreichii,7.7,52.25,10.0,,,169
Pinus jeffreyi,10.1,39.50,12.3,1.3,9.3,170
Pinus massoniana,19.7,26.32,15.7,0.7,21.0,171
Pinus monticola,7.0,46.83,14.5,,,172
Pinus mugo,4.0,.,11.0,1.4,7.7,128
Pinus nigra,9.2,50.64,11.7,1.1,10.1,"76, 173–177, *"
Pinus palustris,18.3,33.33,8.2,,,8
Pinus patula,18.1,18.00,13.0,,,81
Pinus pinaster,15.8,35.07,8.7,0.7,16.2,"14, 178–180"
Pinus pinea,11.5,41.08,10.9,,,14
Pinus ponderosa,6.0,35.27,11.6,,,181
Pinus pumila,–4.7,59.00,12.6,1.4,9.0,117
Pinus radiata,13.1,36.58,14.2,1.4,10.6,"180, 182–184, **"
Pinus resinosa,4.8,45.83,10.8,1.1,8.1,"5, 6, 56"
Pinus rigida,12.5,35.00,11.6,,,8
Pinus serotina,18.3,33.33,8.2,,,8
Pinus sibirica,–0.2,56.30,15.4,1.4,11.0,75
Pinus strobus,7.4,43.76,13.8,1.5,9.5,"5, 6, 8, 185, 186, †"
Pinus sylvestris,6.1,56.36,13.2,1.4,9.6,"8, 14, 64, 72, 73, 75, 77, 119, 127, 137, 144, 152, 155, 157, 174, 175, 177, 187, 188–238, *"
Pinus taeda,17.1,32.40,11.6,1.2,9.7,"239, §"
Piper hispidum,26.9,1.80,38.5,,,91
Piptadeniastrum africanum,28.0,7.55,13.9,,,38
Pisonia albida,24.1,18.40,21.8,1.2,18.8,33
Pisonia subcordata,24.1,18.40,15.0,0.8,19.2,33
Pistacia lentiscus,16.4,40.50,10.9,0.9,9.5,"53, 59, 79, 240"
Pistacia terebinthus,13.7,43.10,21.4,,,"13, 53"
Pityrodia bartlingii,18.7,30.00,11.3,0.6,17.7,34
Plagiosiphon emarginatus,28.0,7.55,16.2,,,38
Planchonella firma,26.8,10.00,13.1,0.7,18.7,44
Planchonia carreya,27.4,12.51,12.7,,,"93, 98"
Plantago atrata,3.6,46.83,20.8,,,31
Plantago lanceolata,12.5,45.60,18.2,2.2,9.3,"13, 36"
Plantago media,3.3,47.00,22.6,,,31
Platanus occidentalis,13.0,35.05,18.3,,,17
Pluchea foetida,23.2,25.85,9.3,0.7,13.8,§
Plumeria alba,24.1,18.40,15.1,1.6,8.8,33
Plumeria obtusa,24.1,18.40,13.4,0.3,41.9,33
Plumeria rubra,24.1,18.40,25.4,1.3,19.7,33
Poa annua,9.3,53.40,38.5,4.5,8.6,36
Poa chaixii,7.2,50.93,18.6,1.8,10.4,"41, 42"
Poa flabellata,1.8,,17.1,2.6,6.7,12
Poa nemoralis,1.5,50.98,17.2,2.2,7.7,"41, 80, 84"
Poa trivialis,9.3,53.40,33.6,4.0,8.4,36
Podocarpus archboldii,26.8,10.00,10.6,0.7,15.2,44
Podocarpus elongatus,15.9,33.79,13.5,,,9
Podocarpus latifolius,13.1,32.50,11.4,,,9
Podocarpus urbanii,27.0,18.00,7.4,0.5,14.8,45
Podophyllum peltatum,9.4,40.56,27.9,2.8,4.2,"5, 8, 56"
Poecilanthe hostmanii,25.0,4.00,21.5,,,1
Pollalesta discolor,22.0,2.20,27.2,2.2,12.3,108
Polygala polygama,7.5,43.31,18.3,2.0,9.2,5
Polygonatum biflorum,3.9,46.70,17.9,2.2,6.7,6
Polygonatum multiflorum,9.4,50.17,30.0,2.1,14.3,‡
Polygonatum officinalis,4.1,55.75,33.6,4.5,7.4,35
Polygonatum pubescens,6.5,44.72,16.5,2.7,7.2,"5, 28"
Polygonum bistorta,–8.3,68.63,21.5,1.7,12.7,65
Polygonum cuspidatum,9.0,34.73,22.3,,,241
Polygonum sachalinense,2.1,46.92,38.0,,,57
Polygonum sp.,23.2,25.85,9.8,0.8,12.5,§
Polygonum viviparum,3.6,46.83,32.5,,,31
Polystichum mohrioides,1.8,.,20.0,2.6,7.7,12
Pontederia lanceolata,23.2,25.85,19.0,1.6,11.7,§
Populus alba,17.0,39.54,23.5,,,53
Populus balsamifera,–0.7,60.16,16.9,1.7,10.0,"15, 52"
Populus deltoides,7.0,44.08,20.4,1.8,10.9,"5, 8, 15"
Populus fremontii,13.0,34.62,16.6,,,8
Populus grandidentata,7.6,43.37,24.4,2.5,9.9,"6, 15, 20"
Populus maximowiczii,9.1,51.46,20.6,2.3,9.1,242
Populus nigra,14.2,40.31,23.1,,,"14, 53"
Populus sp.,8.6,49.40,25.2,1.8,14.0,77
Populus tremuloides,0.9,56.28,20.5,2.3,8.6,"6, 8, 15, 52, 69"
Potentilla aurea,3.6,46.83,28.4,,,31
Potentilla crantzii,12.8,43.77,17.9,,,13
Potentilla erecta,9.3,53.40,21.7,1.8,12.1,36
Potentilla tridentata,3.9,46.70,14.5,2.3,6.3,6
Prenanthes alba,3.9,46.70,16.4,2.1,7.9,6
Prenanthes purpurea,7.3,50.98,30.0,2.0,15.0,41
Prestoea montana,24.1,18.40,12.2,0.7,17.8,"33, 55"
Primula elatior,9.4,50.17,25.0,1.9,13.2,‡
Prosopis glandulosa,13.0,34.62,24.9,,,8
Prosopis juliflora,23.1,29.48,30.1,2.2,13.9,243
Protium sp.,26.0,1.93,12.3,,,8
Prunus avium,10.2,50.78,18.0,1.4,12.9,*
Prunus mahaleb,12.8,43.77,21.2,,,13
Prunus pensylvanica,5.8,44.71,23.4,2.4,9.7,"6, 15, 16, 28"
Prunus pumila,3.9,46.70,19.3,2.5,7.3,6
Prunus serotina,7.3,43.64,23.3,2.6,9.4,"5, 6, 15, 20, 56"
Prunus spinosa,12.4,42.87,19.6,,,"13, 14"
Prunus virginiana,5.2,45.63,23.6,2.4,9.7,"6, 15"
Pseudopiptadenia suaveolens,25.0,4.00,18.1,,,1
Pseudotsuga menziesii,8.5,48.82,12.2,1.4,9.2,"114, 151, 244, 245, *, ††"
Psidium cattleianum,12.0,19.50,11.5,0.9,12.8,10
Psidium guajava,22.4,18.56,21.3,2.1,10.0,"10, 246"
Psoralea bituminosa,13.3,43.65,42.0,,,13
Psychotria barteroona,24.1,18.40,31.7,1.0,32.0,33
Psychotria sp.,18.1,18.95,17.6,1.0,17.9,"10, 33"
Pteleopsis myrtifolia,17.4,32.33,22.5,,,9
Pteridium aquilinum,7.6,48.88,24.9,2.4,10.7,"5, 35, 36, 41, 42, 53"
Pterocarpus officinalis,24.1,18.40,17.7,0.6,32.2,33
Pterocaulon pycnostachyum,18.3,33.33,19.7,,,8
Pulmonaria angustifolia,9.4,50.17,22.0,1.7,12.9,‡
Pulmonaria officinalis,9.7,48.00,17.3,3.9,4.4,43
Pulsatilla sulphurea,3.6,46.83,23.7,,,31
Pultenea daphnoides,17.5,33.58,19.2,0.3,56.5,46
Pultenea flexilis,17.5,33.58,16.9,0.4,46.9,46
Pycnanthus angolensis,28.0,7.55,19.2,,,38
Pyrola rotundifolia,3.9,46.70,12.5,1.4,8.9,6
Pyrola secunda,3.9,46.70,15.3,2.3,7.1,6
Pyrus bourgaena,11.5,41.08,21.5,,,14
Quercus alba,11.2,38.51,21.5,1.8,11.1,"5, 15, 17, 21, 24, †, ‡‡"
Quercus bicolor,7.7,43.52,20.2,2.6,7.8,5
Quercus borealis,3.9,46.70,21.6,2.2,9.0,6
Quercus cerris,12.8,41.42,20.1,0.9,21.8,100
Quercus coccifera,13.8,42.73,12.5,0.7,16.9,"14, 53, 79"
Quercus coccinea,12.8,35.05,19.8,1.3,15.3,"8, 17, 23, 24, †"
Quercus ellipsoidalis,8.0,43.15,21.0,,,8
Quercus faginea,11.5,41.08,24.2,,,14
Quercus humilis,17.0,39.54,27.3,,,53
Quercus ilex,14.1,42.60,14.0,0.9,15.6,"13, 50, 53, 54, 59, 79, 100, 247, 248"
Quercus laurifolia,18.0,32.67,12.8,1.9,6.7,21
Quercus leavis,18.3,33.33,11.5,,,8
Quercus macrocarpa,5.6,45.28,22.6,2.2,9.8,"6, 15, 56"
Quercus michauxii,18.0,32.67,19.1,2.6,7.3,21
Quercus nigra,18.0,32.67,19.8,2.4,8.3,21
Quercus petraea,9.1,50.08,21.2,1.8,11.9,"49, 249, 250"
Quercus prinus,11.2,37.64,21.9,1.4,14.4,"17, 23, 24, 26, 27, 50, †, ¶"
Quercus pubescens,13.2,43.67,18.3,0.9,15.8,"13, 79"
Quercus pyrenaica,10.7,41.08,16.8,1.3,11.1,"14, 251"
Quercus robur,8.8,49.53,24.3,1.9,12.5,"19, 43, 49, 77, 106, 110, 111, 186, 252–254, *"
Quercus rotundifolia,11.5,41.08,13.9,,,14
Quercus rubra,9.1,44.62,19.0,1.5,11.6,"5, 15, 17, 23, 24, 26, 27, 49, 72, 185, 192, 234, 255, *, §"
Quercus sp.,10.4,50.90,25.9,2.3,11.3,49
Quercus suber,14.2,44.95,15.3,1.1,13.7,"14, 79, 256"
Quercus turbinella,13.0,34.62,15.4,,,8
Quercus velutina,7.7,43.52,19.2,1.4,13.7,5
Quercus virginiana,18.3,33.33,15.4,,,8
Quintinia acutifolia,11.3,43.33,10.3,,,26
Ramischia secunda,4.1,55.75,19.3,3.9,4.9,35
Ranunculus acris,3.6,46.83,32.6,,,31
Ranunculus biternatus,1.8,,26.0,4.4,6.0,12
Ranunculus cassubicus,4.1,55.75,29.9,3.3,9.1,35