genus,family,order,group,binomial,id
Chamaedaphne,Ericaceae,Ericales,Angiosperms,Chamaedaphne_calyculata,ubc
Disanthus,Hamamelidaceae,Saxifragales,Angiosperms,Disanthus_cercidifolius,ubc
Berberis,Berberidaceae,Ranunculales,Angiosperms,Berberis_darwinii,ubc
Escallonia,Escalloniaceae,Escalloniales,Angiosperms,Escallonia_rubra,ubc
Viburnum,Adoxaceae,Dipsacales,Angiosperms,Viburnum_davidii,ubc
Cephalotaxus,Taxaceae,Pinales,Gymnosperms,Cephalotaxus_harringtonia,ubc
Tsuga,Pinaceae,Pinales,Gymnosperms,Tsuga_mertensiana,ubc
Aesculus,Sapindaceae,Sapindales,Angiosperms,Aesculus_pavia,ubc
Lathyrus,Fabaceae,Fabales,Angiosperms,Lathyrus_vernus,ubc
Trochodendron,Trochodendraceae,Trochodendrales,Angiosperms,Trochodendron_aralioides,ubc
Glandora,Boraginaceae,Boraginales,Angiosperms,Glandora_diffusa,ubc
Iris,Iridaceae,Asparagales,Angiosperms,Iris_wilsonii,ubc
Houttuynia,Saururaceae,Piperales,Angiosperms,Houttuynia_cordata,ubc
Cornus,Cornaceae,Cornales,Angiosperms,Cornus_kousa,ubc
Stewartia,Theaceae,Ericales,Angiosperms,Stewartia_serrata,ubc
Corylus,Betulaceae,Fagales,Angiosperms,Corylus_colurna,ubc
Eurya,Pentaphylacaceae,Ericales,Angiosperms,Eurya_japonica,ubc
Hypericum,Hypericaceae,Malpighiales,Angiosperms,Hypericum_lancasteri,ubc
Aucuba,Garryaceae,Garryales,Angiosperms,Aucuba_chinensis,ubc
Trillium,Melanthiaceae,Liliales,Angiosperms,Trillium_grandiflorum,ubc
Stachyurus,Stachyuraceae,Crossosomatales,Angiosperms,Stachyurus_chinensis,ubc
Magnolia,Magnoliaceae,Magnoliales,Angiosperms,Magnolia_dawsoniana,ubc
Sciadopitys,Sciadopityaceae,Pinales,Gymnosperms,Sciadopitys_verticillata,ubc
Decaisnea,Lardizabalaceae,Ranunculales,Angiosperms,Decaisnea_insignis,ubc
Myrica,Myricaceae,Fagales,Angiosperms,Myrica_gale,ubc
Actinidia,Actinidiaceae,Ericales,Angiosperms,Actinidia_kolomikta,ubc
Anemone,Ranunculaceae,Ranunculales,Angiosperms,Anemone_rivularis,ubc
Haberlea,Gesneriaceae,Lamiales,Angiosperms,Haberlea_rhodopensis,ubc
Tolmiea,Saxifragaceae,Saxifragales,Angiosperms,Tolmiea_menziesii,ubc
Lysichiton,Araceae,Alismatales,Angiosperms,Lysichiton_camtschatcensis,ubc
Nymphoides,Menyanthaceae,Asterales,Angiosperms,Nymphoides_peltata,ubc
Cercidiphyllum,Cercidiphyllaceae,Saxifragales,Angiosperms,Cercidiphyllum_japonicum,ubc
Acorus,Acoraceae,Acorales,Angiosperms,Acorus_americanus,ubc
Teucrium,Lamiaceae,Lamiales,Angiosperms,Teucrium_pyrenaicum,ubc
Kadsura,Schisandraceae,Austrobaileyales,Angiosperms,Kadsura_coccinea,ubc
Ampelopsis,Vitaceae,Vitales,Angiosperms,Ampelopsis_megalophylla,ubc
Sanguinaria,Papaveraceae,Ranunculales,Angiosperms,Sanguinaria_canadensis,ubc
Rehderodendron,Styracaceae,Ericales,Angiosperms,Rehderodendron_macrocarpum,ubc
Ginkgo,Ginkgoaceae,Ginkgoales,Gymnosperms,Ginkgo_biloba,ubc
Juglans,Juglandaceae,Fagales,Angiosperms,Juglans_mandshurica,ubc
Staphylea,Staphyleaceae,Crossosomatales,Angiosperms,Staphylea_bumalda,ubc
Paeonia,Paeoniaceae,Saxifragales,Angiosperms,Paeonia_cambessedesii,ubc
Halocarpus,Podocarpaceae,Pinales,Gymnosperms,Halocarpus_bidwillii,ubc
Opuntia,Cactaceae,Caryophyllales,Angiosperms,Opuntia_polyacantha,ubc
Shepherdia,Elaeagnaceae,Rosales,Angiosperms,Shepherdia_canadensis,ubc
Elodea,Hydrocharitaceae,Alismatales,Angiosperms,Elodea_canadensis,ubc
Equisetum,Equisetaceae,Equisetales,Pteridophytes,Equisetum_scirpoides,ubc
Schefflera,Araliaceae,Apiales,Angiosperms,Schefflera_delavayi,ubc
Narcissus,Amaryllidaceae,Asparagales,Angiosperms,Narcissus_minor,ubc
Daphniphyllum,Daphniphyllaceae,Saxifragales,Angiosperms,Daphniphyllum_macropodum,ubc
Catalpa,Bignoniaceae,Lamiales,Angiosperms,Catalpa_fargesii,ubc
Sassafras,Lauraceae,Laurales,Angiosperms,Sassafras_albidum,ubc
Coriaria,Coriariaceae,Cucurbitales,Angiosperms,Coriaria_microphylla,ubc
Lysimachia,Primulaceae,Ericales,Angiosperms,Lysimachia_clethroides,ubc
Clethra,Clethraceae,Ericales,Angiosperms,Clethra_delavayi,ubc
Verbena,Verbenaceae,Lamiales,Angiosperms,Verbena_hastata,ubc
Toona,Meliaceae,Sapindales,Angiosperms,Toona_sinensis,ubc
Medeola,Liliaceae,Liliales,Angiosperms,Medeola_virginiana,ubc
Ephedra,Ephedraceae,Gnetales,Gymnosperms,Ephedra_frustillata,ubc
Dianthus,Caryophyllaceae,Caryophyllales,Angiosperms,Dianthus_microlepis,ubc
Matteuccia,Onocleaceae,Eupolypod II,Pteridophytes,Matteuccia_struthiopteris,ubc
Bretschneidera,Akaniaceae,Brassicales,Angiosperms,Bretschneidera_sinensis,ubc
Rhamnus,Rhamnaceae,Rosales,Angiosperms,Rhamnus_alpina,ubc
Emmenopterys,Rubiaceae,Gentianales,Angiosperms,Emmenopterys_henryi,ubc
Firmiana,Malvaceae,Malvales,Angiosperms,Firmiana_simplex,ubc
Luzula,Juncaceae,Poales,Angiosperms,Luzula_sylvatica,ubc
Orostachys,Crassulaceae,Saxifragales,Angiosperms,Orostachys_malacophylla,ubc
Tapiscia,Tapisciaceae,Huerteales,Angiosperms,Tapiscia_sinensis,ubc
Helwingia,Helwingiaceae,Aquifoliales,Angiosperms,Helwingia_chinensis,ubc
Hedychium,Zingiberaceae,Zingiberales,Angiosperms,Hedychium_coronarium,ubc
Lewisia,Montiaceae,Caryophyllales,Angiosperms,Lewisia_pygmaea,ubc
Itea,Iteaceae,Saxifragales,Angiosperms,Itea_virginica,ubc
Liquidambar,Altingiaceae,Saxifragales,Angiosperms,Liquidambar_formosana,ubc
Reseda,Resedaceae,Brassicales,Angiosperms,Reseda_luteola,ubc
Jovellana,Calceolariaceae,Lamiales,Angiosperms,Jovellana_violacea,ubc
Linum,Linaceae,Malpighiales,Angiosperms,Linum_hirsutum,ubc
Cystopteris,Cystopteridaceae,Polypodiales-Eupolypod II,Pteridophytes,Cystopteris_fragilis,ubc
Cistus,Cistaceae,Malvales,Angiosperms,Cistus_laurifolius,ubc
Ribes,Grossulariaceae,Saxifragales,Angiosperms,Ribes_sanguineum,ubc
Meliosma,Sabiaceae,Proteales,Angiosperms,Meliosma_veitchiorum,ubc
Osmunda,Osmundaceae,Osmundales,Pteridophytes,Osmunda_regalis,ubc
Triantha,Tofieldiaceae,Alismatales,Angiosperms,Triantha_glutinosa,ubc
Crinodendron,Elaeocarpaceae,Oxalidales,Angiosperms,Crinodendron_hookerianum,ubc
Drimys,Winteraceae,Canellales,Angiosperms,Drimys_winteri,ubc
Sparganium,Typhaceae,Poales,Angiosperms,Sparganium_emersum,ubc
Pedicularis,Orobanchaceae,Lamiales,Angiosperms,Pedicularis_groenlandica,ubc
Kniphofia,Asphodelaceae,Asparagales,Angiosperms,Kniphofia_multiflora,ubc
Boehmeria,Urticaceae,Rosales,Angiosperms,Boehmeria_platanifolia,ubc
Adiantum,Pteridaceae,Polypodiales,Pteridophytes,Adiantum_pedatum,ubc
Thelypteris,Thelypteridaceae,Polypodiales-Eupolypod II,Pteridophytes,Thelypteris_noveboracensis,ubc
Botrychium,Ophioglossaceae,Ophioglossales,Pteridophytes,Botrychium_virginianum,ubc
Uvularia,Colchicaceae,Liliales,Angiosperms,Uvularia_grandiflora,ubc
Berberidopsis,Berberidopsidaceae,Berberidopsidales,Angiosperms,Berberidopsis_corallina,ubc
Begonia,Begoniaceae,Cucurbitales,Angiosperms,Begonia_palmata,ubc
Puya,Bromeliaceae,Poales,Angiosperms,Puya_mirabilis,ubc
Rhododendron,Ericaceae,Ericales,Angiosperms,Rhododendron_degronianum,ubc
Vaccinium,Ericaceae,Ericales,Angiosperms,Vaccinium_deliciosum,ubc
Rhododendron,Ericaceae,Ericales,Angiosperms,Rhododendron_barbatum,ubc
Rhododendron,Ericaceae,Ericales,Angiosperms,Rhododendron_hyperythrum,ubc
Abies,Pinaceae,Pinales,Gymnosperms,Abies_pinsapo,ubc
Picea,Pinaceae,Pinales,Gymnosperms,Picea_alcoquiana,ubc
Pinus,Pinaceae,Pinales,Gymnosperms,Pinus_cembra,ubc
Tsuga,Pinaceae,Pinales,Gymnosperms,Tsuga_sieboldii,ubc
Pinus,Pinaceae,Pinales,Gymnosperms,Pinus_sylvestris,ubc
Dryopteris,Dryopteridaceae,Polypodiales-Eupolypod I,Pteridophytes,Dryopteris_expansa,ubc
Dryopteris,Dryopteridaceae,Polypodiales-Eupolypod I,Pteridophytes,Dryopteris_wallichiana,ubc
Dryopteris,Dryopteridaceae,Polypodiales-Eupolypod I,Pteridophytes,Dryopteris_cristata,ubc
Dryopteris,Dryopteridaceae,Polypodiales-Eupolypod I,Pteridophytes,Dryopteris_bissetiana,ubc
Dryopteris,Dryopteridaceae,Polypodiales-Eupolypod I,Pteridophytes,Dryopteris_erythrosora,ubc
